OrthoRecord,Token,Normalized,Status,Comments
urn:cite:hmt:normalizedcase.21,αἰτεῖν,αἰτεῖν,proposed,bad parse
urn:cite:hmt:normalizedcase.11,Ἀργολικῇ,ἀργολικῇ,proposed,
urn:cite:hmt:normalizedcase.24,δηϊόων,δηϊόων,proposed,bad parse
urn:cite:hmt:normalizedcase.22,δηλουμένου,δηλουμένου,proposed,bad parse
urn:cite:hmt:normalizedcase.15,εὐκαταμαχητότεροι,εὐκαταμαχητότεροι,proposed,bad parse
urn:cite:hmt:normalizedcase.16,εὐλαβεῖται,εὐλαβεῖται,proposed,bad parse
urn:cite:hmt:normalizedcase.23,ζητεῖται,ζητεῖται,proposed,bad parse
urn:cite:hmt:normalizedcase.17,Ἰλιακῇ,ἰλιακῇ,proposed,
urn:cite:hmt:normalizedcase.4,Μυρμιδών,μυρμιδών,proposed,
urn:cite:hmt:normalizedcase.5,Μυρμιδὼν,μυρμιδὼν,proposed,
urn:cite:hmt:normalizedcase.1,Μυρμιδόνων,μυρμιδόνων,proposed,
urn:cite:hmt:normalizedcase.3,Μυρμιδόνας,μυρμιδόνας,proposed,
urn:cite:hmt:normalizedcase.6,Μυρμιδόνες,μυρμιδόνες,proposed,
urn:cite:hmt:normalizedcase.14,Νηρεΐδας,νηρηΐδας,proposed,
urn:cite:hmt:normalizedcase.13,Νηρεΐδων,νηρεΐδων,proposed,
urn:cite:hmt:normalizedcase.12,Νηρηΐδες,νηρηΐδες,proposed,
urn:cite:hmt:normalizedcase.18,ξενιστέον,ξενιστέον,proposed,verbal adj
urn:cite:hmt:normalizedcase.20,Ὀδυσσείᾳ,ὀδυσσείᾳ,proposed,
urn:cite:hmt:normalizedcase.8,Ὁμηρικοὶ,ὁμηρικοὶ,proposed,
urn:cite:hmt:normalizedcase.9,Ὁμηρικὸν,ὁμηρικὸν,proposed,
urn:cite:hmt:normalizedcase.7,Πηλιάδα,πηλιάδα,proposed,
urn:cite:hmt:normalizedcase.19,Πηλήϊον,πηλήϊον,proposed,
urn:cite:hmt:normalizedcase.2,Τρῶες,τρῶες,proposed,
